Manufacturer Name,Part number,Part Description,Distributor,SKU,Stock Quantity,MOQ- Minimum Order Quantity,Packaging,Currency,Price 1,Price 10,Price 25,Price 50,Price 100,Price 200,Price 250,Price 500,Price 1000,Price 2000,Price 3000,Price 4000,Price 5000,Price 10000,Price 50000,Price 100000
RFMD,1715339,,element14 APAC,1715339,1,1,,SGD,453.33000,,,,,,,,,,,,,,,
RFMD,1715344,,element14 APAC,1715344,1,1,,SGD,453.33000,,,,,,,,,,,,,,,
RFMD,1715344,,Farnell,1715344,1,1,,GBP,46.30000,,,,,,,,,,,,,,,
RFMD,1715337,,Farnell,1715337,1,1,,GBP,28.46000,,,,,,,,,,,,,,,
RFMD,1715337,,element14 APAC,1715337,1,1,,SGD,272.00000,,,,,,,,,,,,,,,
RFMD,FMS2016-001SR,,Quest,FMS2016-001SR,185,,,USD,8.64000,,,,,,,,,,,,,,,
RFMD,RF2374SR,,4 Star Electronics,RF2374SR,150,,,,,,,,,,,,,,,,,,,
RFMD,RF2172SR,,AED Electronics,RF2172SR,740,,,,,,,,,,,,,,,,,,,
RFMD,SGL-0622ZSR,,Voyager Components,SGL-0622ZSR,500,,,,,,,,,,,,,,,,,,,
RFMD,ML4812IP,,LittleDiode,ML4812IP,9,,,,,,,,,,,,,,,,,,,
RFMD,SGA-2186-ND,,Digi-Key,SGA-2186-ND,0,3000,,USD,,,,,,,,,,,0.62000,,,,,
RFMD,SGA2186,,Cyclops Electronics,SGA2186,2747,,,,,,,,,,,,,,,,,,,
RFMD,RF2938TR13,,4 Star Electronics,RF2938TR13,4601,,,,,,,,,,,,,,,,,,,
RFMD,SGA-2163-ND,,Digi-Key,SGA-2163-ND,0,3000,,USD,,,,,,,,,,,1.05643,,,,,
RFMD,RF2516-ND,,Digi-Key,RF2516-ND,0,100,Bulk,USD,,,,,3.48500,,,,,,,,,,,
RFMD,RF2516,,LittleDiode,RF2516,0,,,,,,,,,,,,,,,,,,,
RFMD,SGA-0163-ND,,Digi-Key,SGA-0163-ND,0,3000,,USD,,,,,,,,,,,0.51000,,,,,
RFMD,SGA-1163-ND,,Digi-Key,SGA-1163-ND,0,3000,,USD,,,,,,,,,,,0.51000,,,,,
RFMD,SGA-1263-ND,,Digi-Key,SGA-1263-ND,0,3000,,USD,,,,,,,,,,,0.51000,,,,,
RFMD,SGA-2286-ND,,Digi-Key,SGA-2286-ND,0,3000,,USD,,,,,,,,,,,0.62000,,,,,
RFMD,SGA-2486-ND,,Digi-Key,SGA-2486-ND,0,3000,,USD,,,,,,,,,,,0.62000,,,,,
RFMD,SGA-2263-ND,,Digi-Key,SGA-2263-ND,0,3000,,USD,,,,,,,,,,,0.51000,,,,,
RFMD,SGA-2463-ND,,Digi-Key,SGA-2463-ND,0,3000,,USD,,,,,,,,,,,0.51000,,,,,
RFMD,SGA-2363-ND,,Digi-Key,SGA-2363-ND,0,3000,,USD,,,,,,,,,,,0.51000,,,,,
RFMD,SGA-2386-ND,,Digi-Key,SGA-2386-ND,0,3000,,USD,,,,,,,,,,,0.62000,,,,,
RFMD,SGA2386,,Bristol Electronics,SGA2386,3000,,,USD,0.43880,,,,,,,,,,,,,,,
RFMD,SGA2386,,Quest,SGA2386,2400,,,USD,2.25000,,,,,,,,,,,,,,,
RFMD,SGA-3263-ND,,Digi-Key,SGA-3263-ND,0,3000,,USD,,,,,,,,,,,0.71000,,,,,
RFMD,SGA-3463-TR1,,Angenic,SGA-3463-TR1,1,,,,,,,,,,,,,,,,,,,
RFMD,SGA-3586-ND,,Digi-Key,SGA-3586-ND,0,3000,,USD,,,,,,,,,,,0.81000,,,,,
RFMD,SGA-3586,,Freelance Electronics,SGA-3586,79,,,USD,0.58000,,,,,,,,,,,,,,,
RFMD,SGA-3286-ND,,Digi-Key,SGA-3286-ND,0,3000,,USD,,,,,,,,,,,0.81000,,,,,
RFMD,SGA-3463-ND,,Digi-Key,SGA-3463-ND,0,3000,,USD,,,,,,,,,,,0.71000,,,,,
RFMD,SGA-3386-ND,,Digi-Key,SGA-3386-ND,0,3000,,USD,,,,,,,,,,,0.81000,,,,,
RFMD,SGA-3486-ND,,Digi-Key,SGA-3486-ND,0,3000,,USD,,,,,,,,,,,0.81000,,,,,
RFMD,SGA-3363-ND,,Digi-Key,SGA-3363-ND,0,3000,,USD,,,,,,,,,,,0.71000,,,,,
RFMD,SGA-4286-ND,,Digi-Key,SGA-4286-ND,0,3000,,USD,,,,,,,,,,,0.81000,,,,,
RFMD,SGA-4186-ND,,Digi-Key,SGA-4186-ND,0,3000,,USD,,,,,,,,,,,0.81000,,,,,
RFMD,SGA-4163-ND,,Digi-Key,SGA-4163-ND,0,3000,,USD,,,,,,,,,,,0.71000,,,,,
